question;answer;text
When was Vitória founded?;Vitória was founded on 05/13/1899.;<s>[INST] When was Vitória founded? [/INST] Vitória was founded on 05/13/1899. </s>
In which country is Vitória based?;Vitória is based in Brazil.;<s>[INST] In which country is Vitória based? [/INST] Vitória is based in Brazil. </s>
What is the full name of Vitória?;The full name of Vitória is Vitória.;<s>[INST] What is the full name of Vitória? [/INST] The full name of Vitória is Vitória. </s>
Where does Paraná Clube play their home games in the Brasileirão Série A 2018?;Paraná Clube plays their home games at Estadio Durival de Britto e Silva in the Brasileirão Série A 2018.;<s>[INST] Where does Paraná Clube play their home games in the Brasileirão Série A 2018? [/INST] Paraná Clube plays their home games at Estadio Durival de Britto e Silva in the Brasileirão Série A 2018. </s>
When was Paraná Clube founded?;Paraná Clube was founded on 12/19/1989.;<s>[INST] When was Paraná Clube founded? [/INST] Paraná Clube was founded on 12/19/1989. </s>
In which country is Paraná Clube based?;Paraná Clube is based in Brazil.;<s>[INST] In which country is Paraná Clube based? [/INST] Paraná Clube is based in Brazil. </s>
What is the full name of Paraná Clube?;The full name of Paraná Clube is Paraná Clube.;<s>[INST] What is the full name of Paraná Clube? [/INST] The full name of Paraná Clube is Paraná Clube. </s>
Who is the manager of Ponte Preta in the Brasileirão Série A 2017?;The manager of Ponte Preta in the Brasileirão Série A 2017 is Joao Brigatti.;<s>[INST] Who is the manager of Ponte Preta in the Brasileirão Série A 2017? [/INST] The manager of Ponte Preta in the Brasileirão Série A 2017 is Joao Brigatti. </s>
Where does Ponte Preta play their home games in the Brasileirão Série A 2017?;Ponte Preta plays their home games at Moisés Lucarelli in the Brasileirão Série A 2017.;<s>[INST] Where does Ponte Preta play their home games in the Brasileirão Série A 2017? [/INST] Ponte Preta plays their home games at Moisés Lucarelli in the Brasileirão Série A 2017. </s>
When was Ponte Preta founded?;Ponte Preta was founded on 08/11/1900.;<s>[INST] When was Ponte Preta founded? [/INST] Ponte Preta was founded on 08/11/1900. </s>
In which country is Ponte Preta based?;Ponte Preta is based in Brazil.;<s>[INST] In which country is Ponte Preta based? [/INST] Ponte Preta is based in Brazil. </s>
What is the full name of Ponte Preta?;The full name of Ponte Preta is Ponte Preta.;<s>[INST] What is the full name of Ponte Preta? [/INST] The full name of Ponte Preta is Ponte Preta. </s>
Who is the manager of Figueirense in the Brasileirão Série A 2016?;The manager of Figueirense in the Brasileirão Série A 2016 is Paulo Baier.;<s>[INST] Who is the manager of Figueirense in the Brasileirão Série A 2016? [/INST] The manager of Figueirense in the Brasileirão Série A 2016 is Paulo Baier. </s>
Where does Figueirense play their home games in the Brasileirão Série A 2016?;Figueirense plays their home games at Orlando Scarpelli in the Brasileirão Série A 2016.;<s>[INST] Where does Figueirense play their home games in the Brasileirão Série A 2016? [/INST] Figueirense plays their home games at Orlando Scarpelli in the Brasileirão Série A 2016. </s>
When was Figueirense founded?;Figueirense was founded on 06/12/1921.;<s>[INST] When was Figueirense founded? [/INST] Figueirense was founded on 06/12/1921. </s>
In which country is Figueirense based?;Figueirense is based in Brazil.;<s>[INST] In which country is Figueirense based? [/INST] Figueirense is based in Brazil. </s>
What is the full name of Figueirense?;The full name of Figueirense is Figueirense.;<s>[INST] What is the full name of Figueirense? [/INST] The full name of Figueirense is Figueirense. </s>
Who is the manager of Santa Cruz in the Brasileirão Série A 2016?;The manager of Santa Cruz in the Brasileirão Série A 2016 is Evaristo Piza.;<s>[INST] Who is the manager of Santa Cruz in the Brasileirão Série A 2016? [/INST] The manager of Santa Cruz in the Brasileirão Série A 2016 is Evaristo Piza. </s>
Where does Santa Cruz play their home games in the Brasileirão Série A 2016?;Santa Cruz plays their home games at Estádio do Arruda in the Brasileirão Série A 2016.;<s>[INST] Where does Santa Cruz play their home games in the Brasileirão Série A 2016? [/INST] Santa Cruz plays their home games at Estádio do Arruda in the Brasileirão Série A 2016. </s>
When was Santa Cruz founded?;Santa Cruz was founded on 02/03/1914.;<s>[INST] When was Santa Cruz founded? [/INST] Santa Cruz was founded on 02/03/1914. </s>
In which country is Santa Cruz based?;Santa Cruz is based in Brazil.;<s>[INST] In which country is Santa Cruz based? [/INST] Santa Cruz is based in Brazil. </s>
What is the full name of Santa Cruz?;The full name of Santa Cruz is Santa Cruz.;<s>[INST] What is the full name of Santa Cruz? [/INST] The full name of Santa Cruz is Santa Cruz. </s>
Where does Joinville play their home games in the Brasileirão Série A 2015?;Joinville plays their home games at Arena Joinville in the Brasileirão Série A 2015.;<s>[INST] Where does Joinville play their home games in the Brasileirão Série A 2015? [/INST] Joinville plays their home games at Arena Joinville in the Brasileirão Série A 2015. </s>
When was Joinville founded?;Joinville was founded on 01/29/1976.;<s>[INST] When was Joinville founded? [/INST] Joinville was founded on 01/29/1976. </s>
In which country is Joinville based?;Joinville is based in Brazil.;<s>[INST] In which country is Joinville based? [/INST] Joinville is based in Brazil. </s>
What is the full name of Joinville?;The full name of Joinville is Joinville.;<s>[INST] What is the full name of Joinville? [/INST] The full name of Joinville is Joinville. </s>
Who is the manager of Criciúma in the Brasileirão Série A 2014?;The manager of Criciúma in the Brasileirão Série A 2014 is Cláudio Tencati.;<s>[INST] Who is the manager of Criciúma in the Brasileirão Série A 2014? [/INST] The manager of Criciúma in the Brasileirão Série A 2014 is Cláudio Tencati. </s>
Where does Criciúma play their home games in the Brasileirão Série A 2014?;Criciúma plays their home games at Estadio Heriberto Hülse in the Brasileirão Série A 2014.;<s>[INST] Where does Criciúma play their home games in the Brasileirão Série A 2014? [/INST] Criciúma plays their home games at Estadio Heriberto Hülse in the Brasileirão Série A 2014. </s>
When was Criciúma founded?;Criciúma was founded on 05/13/1947.;<s>[INST] When was Criciúma founded? [/INST] Criciúma was founded on 05/13/1947. </s>
In which country is Criciúma based?;Criciúma is based in Brazil.;<s>[INST] In which country is Criciúma based? [/INST] Criciúma is based in Brazil. </s>
What is the full name of Criciúma?;The full name of Criciúma is Criciúma.;<s>[INST] What is the full name of Criciúma? [/INST] The full name of Criciúma is Criciúma. </s>
Who is the manager of Portuguesa in the Brasileirão Série A 2013?;The manager of Portuguesa in the Brasileirão Série A 2013 is Leandro Zago.;<s>[INST] Who is the manager of Portuguesa in the Brasileirão Série A 2013? [/INST] The manager of Portuguesa in the Brasileirão Série A 2013 is Leandro Zago. </s>
Where does Portuguesa play their home games in the Brasileirão Série A 2013?;Portuguesa plays their home games at Estádio Doutor Oswaldo Teixeira Duarte in the Brasileirão Série A 2013.;<s>[INST] Where does Portuguesa play their home games in the Brasileirão Série A 2013? [/INST] Portuguesa plays their home games at Estádio Doutor Oswaldo Teixeira Duarte in the Brasileirão Série A 2013. </s>
When was Portuguesa founded?;Portuguesa was founded on 08/14/1920.;<s>[INST] When was Portuguesa founded? [/INST] Portuguesa was founded on 08/14/1920. </s>
In which country is Portuguesa based?;Portuguesa is based in Brazil.;<s>[INST] In which country is Portuguesa based? [/INST] Portuguesa is based in Brazil. </s>
What is the full name of Portuguesa?;The full name of Portuguesa is Portuguesa.;<s>[INST] What is the full name of Portuguesa? [/INST] The full name of Portuguesa is Portuguesa. </s>
Where does Náutico play their home games in the Brasileirão Série A 2013?;Náutico plays their home games at Aflitos in the Brasileirão Série A 2013.;<s>[INST] Where does Náutico play their home games in the Brasileirão Série A 2013? [/INST] Náutico plays their home games at Aflitos in the Brasileirão Série A 2013. </s>
When was Náutico founded?;Náutico was founded on 04/07/1901.;<s>[INST] When was Náutico founded? [/INST] Náutico was founded on 04/07/1901. </s>
In which country is Náutico based?;Náutico is based in Brazil.;<s>[INST] In which country is Náutico based? [/INST] Náutico is based in Brazil. </s>
What is the full name of Náutico?;The full name of Náutico is Náutico.;<s>[INST] What is the full name of Náutico? [/INST] The full name of Náutico is Náutico. </s>
Who is the manager of Guarani in the Brasileirão Série A 2010?;The manager of Guarani in the Brasileirão Série A 2010 is Umberto Louzer.;<s>[INST] Who is the manager of Guarani in the Brasileirão Série A 2010? [/INST] The manager of Guarani in the Brasileirão Série A 2010 is Umberto Louzer. </s>
Where does Guarani play their home games in the Brasileirão Série A 2010?;Guarani plays their home games at Estádio Brinco de Ouro da Princesa in the Brasileirão Série A 2010.;<s>[INST] Where does Guarani play their home games in the Brasileirão Série A 2010? [/INST] Guarani plays their home games at Estádio Brinco de Ouro da Princesa in the Brasileirão Série A 2010. </s>
When was Guarani founded?;Guarani was founded on 04/02/1911.;<s>[INST] When was Guarani founded? [/INST] Guarani was founded on 04/02/1911. </s>
In which country is Guarani based?;Guarani is based in Brazil.;<s>[INST] In which country is Guarani based? [/INST] Guarani is based in Brazil. </s>
What is the full name of Guarani?;The full name of Guarani is Guarani.;<s>[INST] What is the full name of Guarani? [/INST] The full name of Guarani is Guarani. </s>
Where does Grêmio Barueri play their home games in the Brasileirão Série A 2010?;Grêmio Barueri plays their home games at Estadio Paulo Constantino in the Brasileirão Série A 2010.;<s>[INST] Where does Grêmio Barueri play their home games in the Brasileirão Série A 2010? [/INST] Grêmio Barueri plays their home games at Estadio Paulo Constantino in the Brasileirão Série A 2010. </s>
When was Grêmio Barueri founded?;Grêmio Barueri was founded on 03/26/1989.;<s>[INST] When was Grêmio Barueri founded? [/INST] Grêmio Barueri was founded on 03/26/1989. </s>
In which country is Grêmio Barueri based?;Grêmio Barueri is based in Brazil.;<s>[INST] In which country is Grêmio Barueri based? [/INST] Grêmio Barueri is based in Brazil. </s>
What is the full name of Grêmio Barueri?;The full name of Grêmio Barueri is Grêmio Barueri.;<s>[INST] What is the full name of Grêmio Barueri? [/INST] The full name of Grêmio Barueri is Grêmio Barueri. </s>
Where does Santo André play their home games in the Brasileirão Série A 2009?;Santo André plays their home games at Estádio Bruno José Daniel in the Brasileirão Série A 2009.;<s>[INST] Where does Santo André play their home games in the Brasileirão Série A 2009? [/INST] Santo André plays their home games at Estádio Bruno José Daniel in the Brasileirão Série A 2009. </s>
When was Santo André founded?;Santo André was founded on 09/18/1967.;<s>[INST] When was Santo André founded? [/INST] Santo André was founded on 09/18/1967. </s>
In which country is Santo André based?;Santo André is based in Brazil.;<s>[INST] In which country is Santo André based? [/INST] Santo André is based in Brazil. </s>
What is the full name of Santo André?;The full name of Santo André is Santo André.;<s>[INST] What is the full name of Santo André? [/INST] The full name of Santo André is Santo André. </s>
Where does Ipatinga play their home games in the Brasileirão Série A 2008?;Ipatinga plays their home games at Ipatingão in the Brasileirão Série A 2008.;<s>[INST] Where does Ipatinga play their home games in the Brasileirão Série A 2008? [/INST] Ipatinga plays their home games at Ipatingão in the Brasileirão Série A 2008. </s>
When was Ipatinga founded?;Ipatinga was founded on 05/21/1998.;<s>[INST] When was Ipatinga founded? [/INST] Ipatinga was founded on 05/21/1998. </s>
